tipo_registro,id,categoria_o_escalon,titulo_o_pregunta,respuesta_o_instruccion,fuente_datos,recursos_sugeridos,requiere_datos_personales,tipo_respuesta,ambito,tipo_caso,riesgo_vital,contacto_oficial,horario,cobertura,que_no_debe_prometer,fuente_url,fecha_verificacion,nivel_confianza,notas
pregunta,P122,18. Bienestar emocional y salud mental académica,"Estoy pasando por un mal momento y voy mal en varios ramos, ¿qué hago primero?","Priorizar contención, diagnóstico académico básico, ramos críticos y contacto con apoyo institucional.",Registro del alumno + Bienestar + Coordinación,"R03,R09",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P123,18. Bienestar emocional y salud mental académica,"Siento que no doy más con la carga académica, ¿boto un ramo o sigo?","Comparar escenarios: retirar, bajar carga, pedir apoyo, revisar plazos y efectos académicos/financieros.",Calendario + Reglamento + Registro del alumno,"R03,R09",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P124,18. Bienestar emocional y salud mental académica,"Me fue mal y me siento frustrado, ¿puedo recuperar el semestre?","Responder con plan de recuperación, cálculo de notas restantes y derivación si hay malestar persistente.",Registro de notas + Programa de asignatura + Bienestar,"R03,R09",Si,Calculo determinista,,,,,,,,,,,
pregunta,P125,18. Bienestar emocional y salud mental académica,"Tengo miedo de hablar con el profesor porque voy mal, ¿cómo lo hago?","Sugerir mensaje formal, pedir retroalimentación y proponer reunión breve con foco en acciones concretas.",Buenas prácticas de comunicación + Docente,"R03,R09",No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P126,18. Bienestar emocional y salud mental académica,"Estoy desmotivado y siento que elegí mal la carrera, ¿me pueden orientar?","Derivar a orientación vocacional/DAE y sugerir revisar rendimiento, intereses y carga antes de decidir.",Bienestar / DAE + Orientación académica,"R03,R09",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P127,18. Bienestar emocional y salud mental académica,"La universidad me tiene sobrepasado, ¿hay alguien que me pueda escuchar?","Entregar canales de bienestar estudiantil y recomendar pedir apoyo temprano; si hay urgencia, indicar canal crítico.",Bienestar / DAE + Recursos verificados (hoja Recursos_verificados),"R03,R09",No,Contencion y derivacion,,,,,,,,,,,
pregunta,P128,18. Bienestar emocional y salud mental académica,"No puedo dormir por las evaluaciones, ¿esto se puede informar?",Orientar a apoyo psicológico y explicar si procede informar a coordinación/docente cuando afecta evaluaciones.,Bienestar / DAE + Reglamento académico,"R03,R09",Si,Derivar a humano,,,,,,,,,,,
pregunta,P129,18. Bienestar emocional y salud mental académica,"Me siento muy angustiado antes del examen, ¿puedo pedir alguna alternativa?",Distinguir apoyo emocional de modificación académica; indicar que cualquier alternativa requiere documentación y autorización.,Reglamento + Bienestar + Coordinación,"R03,R09",Si,Derivar a humano,,,,,,,,,,,
pregunta,P130,19. Crisis académica y plan de recuperación,"Voy reprobando dos ramos, ¿cuál intento salvar primero?","Priorizar según nota necesaria, ponderaciones restantes, prerrequisitos y riesgo de atraso.",Notas + Programa de asignatura + Malla,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P131,19. Crisis académica y plan de recuperación,"Estoy mal en todo, ¿me puedes ordenar qué hacer esta semana?","Plan de acción semanal: revisar notas, fechas, ramos críticos, contactar docentes y buscar apoyo.",Registro académico + Calendario + Programas,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P132,19. Crisis académica y plan de recuperación,¿Todavía puedo salvar el ramo o ya no conviene seguir intentando?,Calcular escenarios de aprobación y comparar con retiro/segunda oportunidad según plazos.,Notas + Ponderaciones + Calendario académico,"R09,R14",Si,Calculo determinista,,,,,,,,,,,
pregunta,P133,19. Crisis académica y plan de recuperación,"Si tengo poco tiempo, ¿qué evaluación debería preparar primero?","Priorizar por ponderación, fecha, nota necesaria y efecto en aprobación.",Calendario de evaluaciones + Notas,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P134,19. Crisis académica y plan de recuperación,¿Me conviene retirar el ramo antes de reprobarlo?,"Comparar impacto en promedio, avance, beneficios y prerequisitos; derivar para confirmación oficial.",Reglamento + Calendario + Registro del alumno,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P135,19. Crisis académica y plan de recuperación,¿Qué pasa si dejo de ir a un ramo que ya doy por perdido?,"Explicar riesgos de abandono, asistencia, reprobación, promedio y alternativas formales.",Reglamento académico + Asistencia,"R09,R14",Si,Dato directo,,,,,,,,,,,
pregunta,P136,19. Crisis académica y plan de recuperación,"Tengo tres pruebas seguidas y estoy atrasado, ¿cómo priorizo?","Ordenar por urgencia, ponderación, dificultad, nota mínima y consecuencias de reprobar.",Calendario + Programas de asignatura + Notas,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P137,19. Crisis académica y plan de recuperación,¿Qué hago si estoy al límite de asistencia y además voy mal de nota?,Combinar diagnóstico de asistencia y nota; sugerir acciones inmediatas y contacto institucional.,Asistencia + Notas + Reglamento,"R09,R14",Si,Calculo determinista,,,,,,,,,,,
pregunta,P138,19. Crisis académica y plan de recuperación,¿Puedo pedir una reunión para armar un plan de recuperación del semestre?,"Indicar a quién solicitar reunión, qué datos llevar y cómo formular el objetivo.",Coordinación + Docente + Registro académico,"R09,R14",No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P139,19. Crisis académica y plan de recuperación,"¿Qué decisión me atrasa menos: botar un ramo, reprobarlo o congelar?","Comparar escenarios académicos, financieros y de beneficios; recomendar validar con coordinación.",Malla + Registro + Reglamento + Beneficios,"R09,R14",Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P140,19. Crisis académica y plan de recuperación,"Voy a reprobar por primera vez, ¿qué consecuencias reales tiene?","Explicar impacto en promedio, malla, repetición, beneficios y próximos pasos.",Reglamento + Malla + Registro,"R09,R14",Si,Calculo determinista,,,,,,,,,,,
pregunta,P141,19. Crisis académica y plan de recuperación,¿Cómo recupero el semestre si partí mal pero aún quedan evaluaciones?,"Calcular nota requerida, ordenar evaluaciones pendientes y proponer plan de estudio realista.",Notas + Ponderaciones + Calendario,"R09,R14",Si,Calculo determinista,,,,,,,,,,,
pregunta,P142,"20. Reclamos, notas y recorrección","Creo que mi prueba está mal corregida, ¿qué hago?","Explicar procedimiento de revisión/recorrección, plazos, evidencia y tono de solicitud.",Reglamento + Docente + Programa de asignatura,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P143,"20. Reclamos, notas y recorrección",¿Cómo reclamo una nota sin quedar como conflictivo?,Generar mensaje formal y respetuoso solicitando revisión con argumentos concretos.,Buenas prácticas de comunicación + Reglamento,"R16,R17",No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P144,"20. Reclamos, notas y recorrección","El profesor no ha subido la nota y ya pasó mucho tiempo, ¿a quién escribo?","Indicar canal progresivo: docente, coordinación y secretaría según plazos oficiales.",Calendario + Docente + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P145,"20. Reclamos, notas y recorrección","Mi nota final no coincide con las ponderaciones, ¿puedes revisarla?",Calcular nota final según ponderaciones y detectar diferencias para consulta formal.,Notas + Programa de asignatura,,Si,Calculo determinista,,,,,,,,,,,
pregunta,P146,"20. Reclamos, notas y recorrección","Me pusieron ausente en una evaluación aunque avisé, ¿puedo reclamar?","Orientar revisión con respaldo, licencia/correo y canal de solicitud.",Reglamento + Evidencias del alumno + Docente,"R16,R17",Si,Derivar a humano,,,,,,,,,,,
pregunta,P147,"20. Reclamos, notas y recorrección",¿Puedo pedir segunda corrección si no estoy de acuerdo con la primera?,"Indicar si el reglamento contempla recorrección, plazos y quién resuelve.",Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P148,"20. Reclamos, notas y recorrección","El profesor cambió la pauta después de la prueba, ¿eso se puede?",Explicar revisión contra programa/pauta oficial y sugerir escalar con evidencia si corresponde.,Programa de asignatura + Reglamento + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P149,"20. Reclamos, notas y recorrección",¿Qué evidencia necesito para reclamar una nota?,"Checklist: prueba, pauta, correos, programa, cálculo, fechas y argumento preciso.",Reglamento + Programa de asignatura,"R16,R17",No,Dato directo,,,,,,,,,,,
pregunta,P150,"20. Reclamos, notas y recorrección","No entiendo por qué me bajaron puntos en el informe, ¿puedo pedir feedback?",Sugerir solicitud de retroalimentación y revisión de rúbrica.,Rúbrica + Docente,,Si,Plantilla de comunicación,,,,,,,,,,,
pregunta,P151,"20. Reclamos, notas y recorrección","El sistema muestra una nota distinta a la que dijo el profesor, ¿qué hago?","Verificar fuente oficial, pedir confirmación al docente y escalar si no se corrige.",Sistema académico + Docente + Secretaría,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P152,"20. Reclamos, notas y recorrección",¿Puedo reclamar si la evaluación tenía materia que no se vio en clases?,"Orientar revisión de programa, contenidos declarados y canal formal.",Programa de asignatura + Syllabus + Reglamento,"R16,R17",No,Derivar a humano,,,,,,,,,,,
pregunta,P153,"20. Reclamos, notas y recorrección","Necesito pedir revisión de mis informes y examen, ¿cómo redacto el correo?","Entregar plantilla breve, formal y orientada a mejora académica.",Buenas prácticas de comunicación,,No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P154,21. Problemas con docentes y comunicación,"El profesor no responde mis correos, ¿qué hago?","Sugerir reenvío respetuoso, esperar plazo razonable y luego contactar coordinación.",Directorio docente + Coordinación,,No,Derivar a humano,,,,,,,,,,,
pregunta,P155,21. Problemas con docentes y comunicación,"No me atrevo a pedir ayuda al profesor, ¿me ayudas a escribirle?","Generar mensaje claro: situación, solicitud concreta y disponibilidad.",Buenas prácticas de comunicación,,No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P156,21. Problemas con docentes y comunicación,¿Cómo le digo al profesor que estoy complicado sin sonar irresponsable?,"Redactar mensaje honesto, breve, con propuesta de acción y sin exigir trato especial.",Buenas prácticas de comunicación,,No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P157,21. Problemas con docentes y comunicación,"Siento que el profesor me tiene mala, ¿a quién puedo acudir?","Orientar a registrar hechos concretos, buscar conversación formal y escalar a coordinación si procede.",Coordinación + Reglamento de convivencia,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P158,21. Problemas con docentes y comunicación,"El profesor explica muy rápido y no entiendo, ¿puedo pedir apoyo?","Derivar a tutorías, material complementario y consulta docente.",Programa de apoyo académico + Docente,,No,Dato directo,,,,,,,,,,,
pregunta,P159,21. Problemas con docentes y comunicación,¿Puedo pedir una reunión con coordinación por problemas en un ramo?,"Indicar cuándo corresponde, cómo solicitarla y qué antecedentes llevar.",Coordinación de carrera,,No,Derivar a humano,,,,,,,,,,,
pregunta,P160,21. Problemas con docentes y comunicación,"El docente no entregó pauta ni rúbrica, ¿eso se puede reclamar?",Revisar si el programa exige pauta/rúbrica y sugerir solicitud formal.,Programa de asignatura + Reglamento,"R16,R17",No,Derivar a humano,,,,,,,,,,,
pregunta,P161,21. Problemas con docentes y comunicación,¿Cómo pido una oportunidad extra sin exigirla?,"Redactar solicitud prudente, reconociendo reglas y pidiendo orientación.",Buenas prácticas de comunicación + Reglamento,,No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P162,21. Problemas con docentes y comunicación,"El profesor me dijo una cosa en clases y otra aparece en el sistema, ¿qué vale?",Explicar prioridad de fuentes oficiales y recomendar pedir confirmación escrita.,Sistema académico + Programa + Docente,,No,Dato directo,,,,,,,,,,,
pregunta,P163,21. Problemas con docentes y comunicación,¿A quién copio en un correo si es un tema de nota o feedback?,"Sugerir destinatarios según caso: docente primero, ayudante si corresponde, coordinación solo si escala.",Directorio + Buenas prácticas de comunicación,,No,Recomendacion (regla),,,,,,,,,,,
pregunta,P164,22. Conflictos de grupo y trabajos colaborativos,"Mi grupo no hizo nada y me están perjudicando, ¿qué hago?","Orientar a documentar aportes, conversar con el grupo y avisar al docente antes de la entrega.",Rúbrica + Docente + Evidencias del alumno,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P165,22. Conflictos de grupo y trabajos colaborativos,¿Puedo pedir evaluación individual si mi grupo no trabaja?,Indicar que depende de rúbrica/docente y sugerir presentar evidencias concretas.,Rúbrica + Programa de asignatura + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P166,22. Conflictos de grupo y trabajos colaborativos,"Un compañero no aparece y falta poco para entregar, ¿lo saco del grupo?",Explicar que la decisión debe pasar por el docente; sugerir registro de participación.,Docente + Rúbrica + Reglamento,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P167,22. Conflictos de grupo y trabajos colaborativos,¿Cómo aviso que hice la mayor parte del trabajo sin sonar pesado?,"Redactar mensaje factual, con distribución de tareas y solicitud de orientación.",Buenas prácticas de comunicación + Evidencias,,No,Plantilla de comunicación,,,,,,,,,,,
pregunta,P168,22. Conflictos de grupo y trabajos colaborativos,"Tengo problemas con mi equipo de trabajo, ¿puedo cambiarme de grupo?","Indicar condiciones, plazos y autorización docente.",Docente + Programa de asignatura,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P169,22. Conflictos de grupo y trabajos colaborativos,"Mi grupo quiere entregar algo malo y yo no estoy de acuerdo, ¿qué hago?","Sugerir dejar observaciones, proponer mejoras y consultar al docente si hay riesgo evaluativo.",Rúbrica + Docente,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P170,22. Conflictos de grupo y trabajos colaborativos,¿Qué hago si me dejaron fuera del informe final?,"Recomendar reunir evidencia, contactar al grupo y docente, y no esperar al cierre de notas.",Evidencias del alumno + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P171,22. Conflictos de grupo y trabajos colaborativos,"Un compañero copió parte del trabajo, ¿me puede afectar?",Explicar riesgo de integridad académica y sugerir informar/regularizar antes de entregar.,Reglamento de integridad académica + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P172,22. Conflictos de grupo y trabajos colaborativos,¿Cómo demuestro mi aporte en un trabajo grupal?,"Sugerir bitácora, historial de archivos, mensajes, tareas y versión final.",Evidencias del alumno + Rúbrica,,No,Dato directo,,,,,,,,,,,
pregunta,P173,22. Conflictos de grupo y trabajos colaborativos,"Me da miedo denunciar que mi grupo no trabaja, ¿qué alternativa tengo?","Proponer comunicación cuidadosa con docente y enfoque en buscar solución, no castigo.",Docente + Bienestar / DAE,"R09,R15,R16",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P174,"23. Asistencia, licencias y evaluaciones perdidas","Tengo licencia médica y falté a una prueba, ¿qué hago ahora?","Indicar procedimiento de justificación, plazo, documentos y solicitud de recuperativa si corresponde.",Reglamento + Secretaría + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P175,"23. Asistencia, licencias y evaluaciones perdidas","Me enfermé el día de la evaluación, ¿todavía puedo justificar?",Revisar plazo reglamentario y documentos requeridos; derivar a secretaría/docente.,Reglamento académico + Calendario,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P176,"23. Asistencia, licencias y evaluaciones perdidas","No pude ir por una crisis personal, ¿sirve como justificación?",Explicar que depende de documentación y evaluación institucional; derivar a bienestar/coordinación.,Reglamento + Bienestar / DAE + Secretaría,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P177,"23. Asistencia, licencias y evaluaciones perdidas","El QR no me tomó la asistencia, ¿cómo lo soluciono?",Indicar revisión con docente/secretaría y evidencia de presencia si existe.,Sistema de asistencia + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P178,"23. Asistencia, licencias y evaluaciones perdidas","Aparezco ausente pero sí estuve en clases, ¿puedo pedir corrección?",Procedimiento de revisión del registro y antecedentes necesarios.,Sistema de asistencia + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P179,"23. Asistencia, licencias y evaluaciones perdidas","Estoy bajo el mínimo de asistencia por problemas de salud, ¿qué opciones tengo?","Explicar riesgos, revisar justificativos y derivar a coordinación/bienestar para evaluación del caso.",Asistencia + Reglamento + Bienestar,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P180,"23. Asistencia, licencias y evaluaciones perdidas",¿Una licencia médica borra la ausencia o solo la justifica?,"Explicar diferencia entre ausencia registrada, justificación y efectos según reglamento.",Reglamento académico + Sistema de asistencia,,No,Dato directo,,,,,,,,,,,
pregunta,P181,"23. Asistencia, licencias y evaluaciones perdidas",¿Puedo rendir una prueba recuperativa si falté por fuerza mayor?,"Indicar condiciones, documentación, plazos y autorización docente/coordinación.",Reglamento académico + Docente,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P182,"23. Asistencia, licencias y evaluaciones perdidas","Llegué tarde y me marcaron ausente, ¿se puede corregir?",Explicar regla de atraso/asistencia y canal de revisión.,Reglamento + Docente + Sistema de asistencia,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P183,"23. Asistencia, licencias y evaluaciones perdidas",¿Qué pasa si no justifico una inasistencia a solemne dentro del plazo?,Explicar consecuencia reglamentaria y alternativas limitadas.,Reglamento académico,,No,Dato directo,,,,,,,,,,,
pregunta,P184,"24. Inclusión, adecuaciones y condiciones de salud","Tengo una condición médica, ¿puedo pedir adecuaciones académicas?","Indicar programa/unidad de inclusión, documentación y evaluación caso a caso.",Inclusión + Bienestar / DAE + Reglamento,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P185,"24. Inclusión, adecuaciones y condiciones de salud",¿A quién informo si mi salud afecta mis evaluaciones?,"Sugerir canal formal: bienestar/inclusión/coordinación, no solo conversación informal.",Bienestar / DAE + Inclusión + Coordinación,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P186,"24. Inclusión, adecuaciones y condiciones de salud",¿Puedo pedir más tiempo en una prueba por una condición diagnosticada?,Explicar que requiere evaluación formal y autorización institucional.,Programa de inclusión + Reglamento académico,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P187,"24. Inclusión, adecuaciones y condiciones de salud","Tengo crisis de salud recurrentes, ¿cómo evito reprobar por asistencia?","Orientar a documentar, avisar formalmente y revisar alternativas con coordinación/bienestar.",Bienestar + Asistencia + Reglamento,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P188,"24. Inclusión, adecuaciones y condiciones de salud",¿Qué documentos necesito para solicitar apoyo por salud?,"Checklist general: certificado, diagnóstico si corresponde, informe profesional y solicitud formal.",Bienestar / DAE + Inclusión,,No,Dato directo,,,,,,,,,,,
pregunta,P189,"24. Inclusión, adecuaciones y condiciones de salud","No quiero contar detalles médicos al profesor, ¿hay otra vía?",Indicar canales confidenciales institucionales y comunicación mínima necesaria al docente.,Bienestar / DAE + Inclusión + Política de privacidad,R09,Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P190,"24. Inclusión, adecuaciones y condiciones de salud",¿La universidad puede adaptar evaluaciones si tengo una situación de salud?,Explicar condiciones de adecuación razonable y proceso formal.,Reglamento + Inclusión,,No,Dato directo,,,,,,,,,,,
pregunta,P191,"24. Inclusión, adecuaciones y condiciones de salud","Tengo tratamiento médico y topa con clases, ¿puedo pedir flexibilidad?",Derivar a coordinación/bienestar con documentación y revisar impacto de asistencia.,Bienestar + Coordinación + Horario,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P192,"24. Inclusión, adecuaciones y condiciones de salud",¿Puedo congelar por motivos de salud sin afectar tanto mi carrera?,"Comparar suspensión por salud, plazos, beneficios y retorno; derivar a unidad oficial.",Reglamento + Beneficios + Bienestar,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P193,"24. Inclusión, adecuaciones y condiciones de salud","Me da vergüenza pedir apoyo por mi condición, ¿cómo empiezo?","Contención, normalizar solicitud de ayuda y entregar primer mensaje/canal de contacto.",Bienestar / DAE + Inclusión,R09,Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P194,"25. Convivencia, discriminación y seguridad universitaria","Me están molestando en clases, ¿a quién puedo acudir?","Indicar canales de convivencia/bienestar, registrar hechos y pedir apoyo institucional.",Reglamento de convivencia + Bienestar / DAE,"R09,R15,R16",Si,Derivar a humano,,,,,,,,,,,
pregunta,P195,"25. Convivencia, discriminación y seguridad universitaria","Siento que me discriminan en un ramo, ¿qué hago?","Orientar a documentar hechos, buscar apoyo y activar canal formal de convivencia/inclusión.",Reglamento de convivencia + Inclusión + DAE,"R09,R15,R16",Si,Derivar a humano,,,,,,,,,,,
pregunta,P196,"25. Convivencia, discriminación y seguridad universitaria","Un compañero me hostiga por mensajes, ¿la universidad puede intervenir?",Explicar canales de denuncia/acompañamiento si afecta convivencia universitaria.,Reglamento de convivencia + DAE,"R09,R15,R16",Si,Derivar a humano,,,,,,,,,,,
pregunta,P197,"25. Convivencia, discriminación y seguridad universitaria","No me siento seguro en una clase, ¿qué puedo hacer?","Priorizar seguridad, contacto con coordinación/DAE y canales urgentes si hay riesgo inmediato.",DAE + Seguridad + Protocolo institucional,"R09,R15,R16",Si,Derivar a humano,,,,,,,,,,,
pregunta,P198,"25. Convivencia, discriminación y seguridad universitaria",¿Cómo reporto una situación de acoso o maltrato?,"Indicar canal formal, confidencialidad, antecedentes y apoyo disponible.",Protocolo institucional + DAE,"R09,R15,R16",No,Derivar a humano,,,,,,,,,,,
pregunta,P199,"25. Convivencia, discriminación y seguridad universitaria","Tengo miedo de denunciar porque puede afectar mis notas, ¿qué hago?","Contener, explicar canales formales y recomendar apoyo institucional confidencial.",DAE + Reglamento de convivencia,"R09,R15,R16",Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P200,"25. Convivencia, discriminación y seguridad universitaria",¿Qué evidencia sirve para reportar un maltrato académico?,"Checklist: fechas, correos, mensajes, testigos, evaluaciones y relato objetivo.",Reglamento de convivencia + Evidencias del alumno,"R09,R15,R16",No,Dato directo,,,,,,,,,,,
pregunta,P201,"25. Convivencia, discriminación y seguridad universitaria",¿Puedo pedir cambiarme de sección por un problema de convivencia?,Indicar posibilidad sujeta a cupos y evaluación de coordinación.,Coordinación + Oferta de secciones + DAE,"R09,R15,R16",Si,Derivar a humano,,,,,,,,,,,
pregunta,P202,"26. Orientación vocacional, permanencia y cambio de rumbo","Siento que esta carrera no es para mí, ¿qué debería revisar antes de cambiarme?","Guiar reflexión: causas, ramos, carga, intereses, empleabilidad y orientación vocacional.",Orientación vocacional + Registro académico,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P203,"26. Orientación vocacional, permanencia y cambio de rumbo",¿Cómo sé si estoy agotado o si realmente debo cambiarme de carrera?,Preguntas guía y derivación a orientación/bienestar para decisión acompañada.,Bienestar / DAE + Orientación vocacional,R09,Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P204,"26. Orientación vocacional, permanencia y cambio de rumbo",¿Me conviene seguir con menos ramos en vez de congelar?,"Comparar carga reducida, suspensión, avance, costos y beneficios.",Registro + Reglamento + Beneficios,,Si,Recomendacion (regla),,,,,,,,,,,
pregunta,P205,"26. Orientación vocacional, permanencia y cambio de rumbo","Estoy pensando en abandonar la universidad, ¿con quién debería hablar antes?","Derivar a coordinación, bienestar y orientación vocacional; sugerir revisar alternativas formales.",Bienestar + Coordinación + Orientación,R09,Si,Contencion y derivacion,,,,,,,,,,,
pregunta,P206,"26. Orientación vocacional, permanencia y cambio de rumbo",¿Qué pasa con mis ramos aprobados si me cambio de carrera?,Explicar equivalencias/convalidación y necesidad de evaluación formal.,Tabla de equivalencias + Registro + Secretaría,,Si,Derivar a humano,,,,,,,,,,,
pregunta,P207,"26. Orientación vocacional, permanencia y cambio de rumbo",¿Puedo bajar la carga académica para recuperar motivación?,"Indicar condiciones de carga mínima, impacto en avance y beneficios.",Reglamento + Beneficios + Registro,,Si,Recomendacion (regla),,,,,,,,,,,
